num_hours,demand,solar,wind
37,0.6301,0.0,0.4053
37,0.6137,0.0,0.3496
37,0.6128,0.0,0.3082
37,0.6109,0.0,0.2909
37,0.6163,0.0,0.2541
37,0.6375,0.0,0.2254
37,0.6815,0.0,0.1851
37,0.7267,0.0,0.1575
37,0.7356,0.0752,0.1512
37,0.7079,0.2541,0.1178
37,0.6898,0.3735,0.0954
37,0.6843,0.272,0.0822
37,0.6745,0.2249,0.0856
37,0.6685,0.2934,0.0776
37,0.669,0.3397,0.1023
37,0.6868,0.1581,0.096
37,0.717,0.0396,0.0919
37,0.765,0.0098,0.0891
37,0.7745,0.0,0.1098
37,0.7495,0.0,0.1259
37,0.7332,0.0,0.1299
37,0.7032,0.0,0.1029
37,0.6619,0.0,0.0776
37,0.6269,0.0,0.0609
54,0.5564,0.0,0.5048
54,0.5425,0.0,0.4956
54,0.5395,0.0,0.5106
54,0.5415,0.0,0.5238
54,0.5572,0.0,0.5359
54,0.5839,0.0,0.5284
54,0.6287,0.0,0.5255
54,0.6819,0.0277,0.5267
54,0.708,0.1463,0.5641
54,0.7037,0.307,0.5485
54,0.6965,0.292,0.5163
54,0.6974,0.379,0.4836
54,0.7039,0.2665,0.4933
54,0.6966,0.2865,0.479
54,0.6884,0.2749,0.4709
54,0.6945,0.2093,0.491
54,0.7278,0.1223,0.4956
54,0.7754,0.0376,0.5043
54,0.8026,0.0,0.5181
54,0.7979,0.0,0.5002
54,0.7792,0.0,0.5365
54,0.7502,0.0,0.5054
54,0.7169,0.0,0.4502
54,0.6808,0.0,0.3611
86,0.5161,0.0,0.3887
86,0.5066,0.0,0.2863
86,0.5045,0.0,0.2576
86,0.5067,0.0,0.2737
86,0.5251,0.0,0.2714
86,0.5584,0.0043,0.3179
86,0.5918,0.183,0.2852
86,0.6176,0.3891,0.1943
86,0.6266,0.5796,0.1713
86,0.6224,0.7406,0.1437
86,0.6226,0.8649,0.1345
86,0.6211,0.8449,0.1627
86,0.6127,0.429,0.1989
86,0.6014,0.4738,0.1897
86,0.6015,0.5524,0.1891
86,0.6115,0.5417,0.1874
86,0.6268,0.2824,0.1955
86,0.6311,0.1338,0.1713
86,0.6379,0.0321,0.1494
86,0.6502,0.0017,0.1845
86,0.6378,0.0,0.2438
86,0.603,0.0,0.3243
86,0.5658,0.0,0.2972
86,0.5372,0.0,0.2869
60,0.6804,0.0,0.147
60,0.6507,0.0,0.1365
60,0.6296,0.0,0.1641
60,0.6205,0.0,0.1657
60,0.6387,0.0,0.1673
60,0.653,0.0,0.1683
60,0.7095,0.1239,0.1438
60,0.774,0.3262,0.1157
60,0.8274,0.5217,0.1084
60,0.8734,0.6213,0.1245
60,0.9013,0.5023,0.1709
60,0.9305,0.8933,0.1767
60,0.9416,0.5962,0.1428
60,0.9533,0.8076,0.1272
60,0.9634,0.714,0.1532
60,0.9829,0.5859,0.1912
60,1.0,0.28,0.2038
60,0.985,0.2674,0.1975
60,0.9735,0.1019,0.2001
60,0.9822,0.0046,0.2215
60,0.9514,0.0,0.2335
60,0.8841,0.0,0.2647
60,0.8166,0.0,0.259
60,0.7585,0.0,0.271
62,0.5218,0.0,0.2604
62,0.5031,0.0,0.2656
62,0.5051,0.0,0.2547
62,0.5058,0.0,0.2156
62,0.5083,0.0,0.2173
62,0.5255,0.0,0.1839
62,0.5547,0.0,0.1857
62,0.5802,0.1226,0.1684
62,0.6063,0.3128,0.1086
62,0.6287,0.4819,0.0862
62,0.6391,0.5992,0.1057
62,0.6389,0.4538,0.1006
62,0.6372,0.6174,0.0781
62,0.6376,0.581,0.0833
62,0.6421,0.3558,0.0994
62,0.6533,0.163,0.1552
62,0.668,0.1252,0.1483
62,0.6604,0.0101,0.1506
62,0.6571,0.0,0.1592
62,0.6364,0.0,0.1793
62,0.6155,0.0,0.1851
62,0.5896,0.0,0.1966
62,0.5516,0.0,0.2012
62,0.5222,0.0,0.1955
66,0.5692,0.0,0.4094
66,0.5624,0.0,0.445
66,0.5604,0.0,0.5301
66,0.5661,0.0,0.5158
66,0.5889,0.0,0.4893
66,0.6372,0.0,0.4997
66,0.6992,0.0,0.5658
66,0.7071,0.0165,0.5526
66,0.6979,0.0624,0.4698
66,0.6832,0.1694,0.4761
66,0.664,0.2393,0.5301
66,0.657,0.2047,0.5273
66,0.6701,0.2492,0.5514
66,0.6645,0.2237,0.6009
66,0.675,0.1275,0.5911
66,0.6983,0.0659,0.5704
66,0.7244,0.0121,0.5784
66,0.7343,0.0,0.5733
66,0.7298,0.0,0.5411
66,0.7133,0.0,0.644
66,0.6893,0.0,0.594
66,0.6544,0.0,0.6273
66,0.6127,0.0,0.6049
66,0.5835,0.0,0.5583
